,pH
2018-12-14,7.763933398015707
2018-12-14,7.751573973368085
2018-12-19,7.769189921793695
2018-12-24,7.647936605623411
2018-12-24,7.768274648627183
2018-12-29,7.806219546442627
2018-12-29,7.750159488081616
2019-01-03,7.817370884875147
2019-01-08,7.711562043934752
2019-01-08,7.878308815439338
2019-01-13,7.8936474065531135
2019-01-13,7.909898404314027
2019-01-18,7.925134355464544
2019-01-18,7.79543447588158
2019-01-23,7.811946592335703
2019-01-28,7.781451740636864
2019-02-02,7.922936283411805
2019-02-02,8.100477909653911
2019-02-07,8.192373966103364
2019-02-07,7.873623547415066
2019-02-17,7.8977459557733605
2019-02-22,7.8926228963126706
2019-03-04,7.281460984943839
2019-03-04,8.170315698860078
2019-03-09,8.160387288061166
2019-03-09,8.14942356669421
2019-03-14,8.221754663371806
2019-03-19,8.18958091613619
2019-03-19,8.150973072849142
2019-03-24,8.221747445430315
2019-03-24,8.208894358749989
2019-03-29,8.22202921883897
2019-03-29,7.99834892444677
2019-04-03,8.008854316975407
2019-04-03,8.084140100573377
2019-04-08,8.215729145309242
2019-04-13,7.981648495528875
2019-04-13,7.950205171304825
2019-04-28,7.957979523526654
2019-04-28,8.096098964417251
2019-05-08,8.214354975687215
2019-05-08,8.110501400473597
2019-05-13,8.267233283804732
2019-05-18,8.0091423108104
2019-05-18,8.141740841170975
2019-05-23,8.145029432573141
2019-05-28,8.176717512622218
2019-06-02,8.088532496636162
2019-06-12,7.45172681612507
2019-08-06,8.001954992335383
2019-08-11,7.433414009525299
2019-09-15,7.431120511516961
2019-09-20,7.514633589743786
2019-09-20,7.582337169989155
2019-10-10,7.584324019053741
2019-10-10,7.483352048249448
2019-10-15,7.541911428071048
2019-10-15,7.587701501727561
2019-10-30,7.632800626604075
2019-11-04,7.322319799251825
2019-11-04,7.248833146061977
2019-11-14,7.314632228981665
2019-11-14,7.137855219737605
2019-11-19,7.293656315728263
2019-11-29,7.269115626323053
2019-11-29,7.498466531191566
2019-12-04,7.560929038336128
2019-12-04,7.296970755985882
2019-12-09,7.501595095369155
2019-12-09,7.907139276109985
2020-01-08,7.6986702951138035
2020-01-23,7.656948970273833
2020-01-23,7.780033244563248
2020-02-02,7.801691261699566
2020-02-02,7.876973032281132
2020-02-07,7.936261346044283
2020-02-12,7.959380595499972
2020-02-12,7.920679541076109
2020-02-17,8.08258362005978
2020-02-17,7.794149914119549
2020-03-03,7.844115097892673
2020-03-03,8.078192149513905
2020-03-08,8.104190465878238
2020-03-18,7.888859886031593
2020-03-18,8.071783076155207
2020-03-23,8.127291006009358
2020-03-23,7.851898170963778
2020-03-28,7.858288884886322
2020-04-02,8.062809921220985
2020-04-02,8.045822197618985
2020-04-07,8.17270046393194
2020-04-07,8.067400767528172
2020-04-12,8.081082870585092
2020-04-17,8.133634764533305
2020-05-07,7.836968225556181
2020-05-07,7.61274794070289
2020-05-17,7.622365159795673
2020-05-22,8.102661275954096
2020-09-04,7.269684468379623
2020-10-14,7.171140292230733
2020-10-14,7.538023418049862
2020-10-19,7.923113609266052
2020-10-19,7.087502326608023
2020-10-24,7.2779418203065065
2020-10-29,7.230016553115679
2020-10-29,6.915384206583768
2020-11-03,7.170872087646615
2020-11-03,7.267638155739827
2020-11-08,7.404451015113529
2020-11-08,7.226220955576243
2020-11-13,7.310806870243892
2020-11-13,7.351991902871643
2020-11-18,7.4030033935016215
2020-11-18,7.329921655099816
2020-11-23,7.412395687711041
2020-11-23,7.57109566693413
2020-11-28,7.617089051982421
2020-11-28,7.597656429253899
2020-12-03,7.6444954131706195
2020-12-18,7.5118858369777595
2020-12-18,7.733949246601735
2020-12-23,7.811408743168598
2020-12-28,7.6594496143086594
2020-12-28,7.649971328091989
2021-01-02,7.746841720899049
2021-01-02,7.838726146883576
2021-01-07,7.875683880275139
2021-01-07,7.824753087169359
2021-02-01,7.847165534745837
2021-02-11,7.677012794611864
2021-02-11,7.813276489837965
2021-02-16,7.846139447470143
2021-02-16,7.97554380711762
2021-02-21,8.078748515686753
2021-02-21,8.120069073058186
2021-02-26,8.131927869374225
2021-02-26,8.075621411248228
2021-03-03,8.157097885261118
2021-03-03,8.084137444811919
2021-03-08,8.137887904486398
2021-03-08,7.941556666736359
2021-03-18,8.16157683845287
2021-03-23,8.007267851349052
2021-03-23,7.990747908290769
2021-03-28,8.144992316603735
2021-03-28,8.030987286454128
2021-04-02,8.130769860222507
2021-04-02,8.090347936003973
2021-04-07,8.147640663029298
2021-04-07,7.944636033441444
2021-04-12,7.955765062960676
2021-04-12,8.004939688620688
2021-04-17,8.01679661057099
2021-04-17,7.984494766631641
2021-04-27,7.9874288355917304
2021-05-02,8.063460938920521
2021-05-07,7.520150992734049
2021-05-12,7.985710255998944
2021-05-17,7.493097511392733
2021-06-06,7.914329096767446
2021-09-04,7.875085495628592
2021-09-19,7.371895408911866
2021-10-04,7.538138212946023
2021-10-04,7.228258087646995
2021-10-09,7.212301419065856
2021-10-09,7.5295901128299105
2021-10-24,7.520992940870146
2021-10-29,7.525573371480232
