,Turbidity
2018-12-14,0.002504258363628105
2018-12-14,-0.11207122834908687
2018-12-19,-0.10762683266879691
2018-12-24,-0.10297742431730507
2018-12-24,-0.11732554536391715
2018-12-29,-0.09614084085705854
2018-12-29,-0.1005735055839939
2019-01-03,-0.08195528354724803
2019-01-08,-0.06869998918739721
2019-01-08,-0.0948727573761342
2019-01-13,-0.08935499527362502
2019-01-13,-0.09526815459470786
2019-01-18,-0.08960189462771648
2019-01-18,-0.06823455885305195
2019-01-23,-0.05849519066463209
2019-01-28,-0.061373527472000255
2019-02-02,-0.09261094546280124
2019-02-02,-0.10542232108653311
2019-02-07,-0.10553080795145307
2019-02-07,-0.08224767864941648
2019-02-17,-0.06878431677483107
2019-02-22,-0.09477695487754158
2019-03-04,-0.06883191017934302
2019-03-04,-0.13305058634761685
2019-03-09,-0.1205938309531026
2019-03-09,-0.11279890699522135
2019-03-14,-0.12349098778429318
2019-03-19,-0.12166057172958007
2019-03-19,-0.10426397139412649
2019-03-24,-0.12101628901595439
2019-03-24,-0.10434678047400212
2019-03-29,-0.10340669841299754
2019-03-29,-0.05097908623446607
2019-04-03,-0.047844539094322194
2019-04-03,-0.059769639349773813
2019-04-08,-0.06754113693193042
2019-04-13,-0.06266913801748773
2019-04-13,-0.061544588949284766
2019-04-28,-0.058864822321177915
2019-04-28,-0.053778309811215265
2019-05-08,-0.07337570919490162
2019-05-08,-0.07618509244709683
2019-05-13,-0.1259985110244164
2019-05-18,-0.049652489913112136
2019-05-18,-0.08209278610669685
2019-05-23,-0.08165136700597642
2019-05-28,-0.114350628778732
2019-06-02,-0.05822187909427351
2019-06-12,-0.01858198614482373
2019-08-06,-0.04173477762617528
2019-08-11,0.013223142806853905
2019-09-15,0.008395072886458365
2019-09-20,0.020418904353516627
2019-09-20,0.006788595369995471
2019-10-10,0.01069419790032863
2019-10-10,0.014528432913666659
2019-10-15,0.01893653622091882
2019-10-15,0.046807262183679435
2019-10-30,0.05009884768141584
2019-11-04,-0.036985664188568496
2019-11-04,-0.053737813027295564
2019-11-14,-0.052193092285384775
2019-11-14,-0.09663858052117501
2019-11-19,-0.08512611712264967
2019-11-29,-0.049329262996333785
2019-11-29,-0.07994965948014107
2019-12-04,-0.07467163642910367
2019-12-04,-0.07771493479060396
2019-12-09,-0.06341409051543952
2019-12-09,-0.07879288818274112
2020-01-08,-0.06983657006292986
2020-01-23,-0.09499022278282153
2020-01-23,-0.08923208388613262
2020-02-02,-0.08348394728027363
2020-02-02,-0.10948889186181718
2020-02-07,-0.10974634365896736
2020-02-12,-0.08102139349535917
2020-02-12,-0.07234998962137336
2020-02-17,-0.07479950737783486
2020-02-17,-0.07777550164701416
2020-03-03,-0.05538478116041219
2020-03-03,-0.10624926429502249
2020-03-08,-0.10161704342442048
2020-03-18,-0.08973277622536201
2020-03-18,-0.11381996652182669
2020-03-23,-0.12049135224403053
2020-03-23,-0.0860552920294574
2020-03-28,-0.08389946264602564
2020-04-02,-0.06797009029311979
2020-04-02,-0.048343262646476995
2020-04-07,-0.04304763819874778
2020-04-07,-0.042063882117563095
2020-04-12,-0.04025170946235389
2020-04-17,-0.01741684932657251
2020-05-07,-0.04635431681871955
2020-05-07,-0.042030247957064455
2020-05-17,-0.0379605971374317
2020-05-22,-0.09153097231654679
2020-09-04,-0.03188487794944845
2020-10-14,-0.005629078918656751
2020-10-14,0.0037000313823819624
2020-10-19,0.032234512122730624
2020-10-19,-0.039700030080265916
2020-10-24,-0.034401061347886154
2020-10-29,-0.0774814009853717
2020-10-29,-0.07297420502126245
2020-11-03,-0.06799225188918506
2020-11-03,-0.03085928018982642
2020-11-08,-0.03001088737701307
2020-11-08,-0.08795057283369641
2020-11-13,-0.08326054676536664
2020-11-13,-0.1255285840347268
2020-11-18,-0.1145175577413589
2020-11-18,-0.11126197924953876
2020-11-23,-0.08891583619587588
2020-11-23,-0.07754814649604497
2020-11-28,-0.07222840631901686
2020-11-28,-0.05582493546277262
2020-12-03,-0.05059396751945049
2020-12-18,-0.04977558565100846
2020-12-18,-0.06017435007769099
2020-12-23,-0.05432760563050913
2020-12-28,-0.06841999579556933
2020-12-28,-0.060228112424440906
2021-01-02,-0.04129471961276562
2021-01-02,-0.05807146201082344
2021-01-07,-0.05242133229410508
2021-01-07,-0.05818001701443977
2021-02-01,-0.05205286347119567
2021-02-11,-0.0640315848794954
2021-02-11,-0.04843915495139192
2021-02-16,-0.03368207729142989
2021-02-16,-0.02443057252213656
2021-02-21,-0.006184270382262918
2021-02-21,-0.030910042048684843
2021-02-26,-0.026019958945100168
2021-02-26,-0.02960462543824502
2021-03-03,-0.022751486589272632
2021-03-03,-0.028180219482189902
2021-03-08,-0.024069521357080497
2021-03-08,-0.021552976861062605
2021-03-18,0.001961710399308395
2021-03-23,-0.004630974741831931
2021-03-23,-0.01474388844822534
2021-03-28,-0.003700168779621793
2021-03-28,-0.0022870107140047593
2021-04-02,0.003743922691781886
2021-04-02,0.002646620642002622
2021-04-07,0.006347631952720688
2021-04-07,0.004333255089441085
2021-04-12,0.006654896904753039
2021-04-12,0.005085253971197598
2021-04-17,0.007254403858692838
2021-04-17,0.008580660627310601
2021-04-27,0.010189052336869318
