,Turbidity
2018-12-16,-0.004920478782395726
2018-12-16,-0.04488805782577965
2018-12-21,-0.04938968809368508
2018-12-21,-0.02926903667164419
2018-12-26,-0.033004096820162476
2018-12-26,-0.03174640505420192
2018-12-31,-0.03655914619356507
2018-12-31,-0.027623053256993494
2019-02-04,-0.028197333187315213
2019-02-09,-0.03907082676191925
2019-02-09,0.04230043534735788
2019-03-01,0.03657382946529203
2019-03-01,-0.02014062390942812
2019-03-06,-0.02547678991314777
2019-03-06,-0.05297313074636126
2019-03-11,-0.05332364409464359
2019-03-26,-0.02914268532686093
2019-03-26,-0.027325586432894157
2019-03-31,-0.022127958505884622
2019-03-31,-0.007291514522189823
2019-04-05,-0.010169498862048001
2019-04-05,-0.010156564048622998
2019-04-10,-0.014946219680121851
2019-04-15,-0.006389597790304408
2019-04-15,-0.023152381605333366
2019-04-20,-0.018548180572465652
2019-04-20,0.0035445664805591522
2019-04-25,0.0022940250343966564
2019-04-25,0.014750120376308646
2019-04-30,0.004988208654423813
2019-05-05,0.018025984861845475
2019-05-05,0.004762816773639295
2019-05-10,0.0029101120685522315
2019-05-10,0.0313755732577624
2019-05-25,0.02896107491666919
2019-05-25,0.036548002878077766
2019-05-30,0.0349107479027114
2019-05-30,0.03554163833831926
2019-06-04,0.034955433471599795
2019-06-04,0.03999263239688981
2019-06-09,0.03843313433453549
2019-06-09,0.03416859387489345
2019-06-14,0.034114047614780076
2019-06-14,0.017649173384025493
2019-06-19,0.0179319057826041
2019-06-29,0.00780519251962398
2019-06-29,0.025959025073497292
2019-08-28,0.025920249571843506
2019-10-12,-0.010923391931815228
2019-10-12,-0.08759247311979451
2019-10-17,-0.08593634519870375
2019-10-17,-0.10394358589261958
2019-10-22,-0.10412941771602767
2019-10-22,-0.15241050827546232
2019-10-27,-0.1552566053288845
2019-10-27,-0.09892329072067288
2019-11-01,-0.09436165616592151
2019-11-01,-0.07514748778101624
2019-11-06,-0.07755298729373393
2019-11-06,-0.1176130580406012
2019-11-16,-0.11446921487906161
2019-11-16,-0.07613225266273645
2019-12-01,-0.07851997560080086
2019-12-01,-0.08741594497522995
2019-12-06,-0.09109982560716376
2019-12-06,-0.08696767632587259
2019-12-11,-0.09191332474653621
2019-12-11,-0.02858123850877059
2019-12-16,-0.03252439290080979
2019-12-31,-0.013568351588268353
2019-12-31,-0.07544257486820152
2020-01-05,-0.08123678136127069
2020-01-05,-0.08263820787069102
2020-01-10,-0.08704341580622507
2020-01-30,-0.0847936007882728
2020-01-30,-0.08705180520253088
2020-02-09,-0.09382329865539128
2020-02-09,-0.07054296736644879
2020-02-14,-0.07385166521566888
2020-02-14,0.0020914128870916054
2020-02-24,0.00185279994039036
2020-02-24,-0.01907504690563181
2020-02-29,-0.02639503481845978
2020-03-10,-0.045240617914520845
2020-03-10,-0.08443643711008825
2020-03-15,-0.08693350445018748
2020-03-15,-0.025670454376381335
2020-03-20,-0.030418053966944216
2020-03-25,-0.06632372412716046
2020-04-04,-0.016919082023285674
2020-04-04,0.0003219374331789622
2020-04-14,-0.0026683456968750055
2020-04-24,-0.009450220013551308
2020-04-24,-0.009646012912462693
2020-05-04,-0.010897619048988578
2020-05-09,0.04461121781712995
2020-05-14,-0.002771815543002436
2020-05-14,0.005927685838006336
2020-05-24,0.003897887219010549
2020-05-24,0.0090829863243764
2020-06-08,0.007217132575247617
2020-06-08,-0.02665034073464093
2020-06-13,-0.026637346131644004
2020-06-13,0.01846820682927095
2020-06-18,0.01463297363623451
2020-06-28,0.01469208649828021
2020-07-13,0.004071012662027572
2020-07-13,0.019738860317321683
2020-09-21,0.01839139629456207
2020-09-21,-0.024106727556492742
2020-09-26,-0.026314664475819
2020-09-26,-0.028374732948782504
2020-10-01,-0.031537157228029765
2020-10-01,-0.04093822296912691
2020-10-06,-0.04275687656716085
2020-10-06,-0.03752747129228726
2020-10-11,-0.04000946053980767
2020-10-11,-0.049525872778407205
2020-10-16,-0.04954981194713743
2020-10-16,-0.067485594235466
2020-10-21,-0.06569042260555726
2020-10-21,-0.07584703167940747
2020-10-26,-0.07658763875728736
2020-10-26,-0.09759973011291051
2020-10-31,-0.09068367726306013
2020-10-31,-0.12246651910536349
2020-11-05,-0.11775101136617659
2020-11-05,-0.1163744222084221
2020-11-10,-0.10579183351326155
2020-11-10,-0.10009110480285656
2020-11-15,-0.09381091082384939
2020-11-15,-0.07369708230413513
2020-11-20,-0.06698275806142512
2020-11-20,-0.06897884579108904
2020-11-30,-0.06919044721574023
2020-11-30,-0.012235388093495989
2020-12-05,-0.015682393848267254
2020-12-05,-0.014245314418375657
2020-12-10,-0.016326763433100695
2020-12-10,-0.009746592570712516
2020-12-15,-0.01380470140666007
2020-12-15,-0.032572156138665105
2020-12-20,-0.037075096896150996
2020-12-25,-0.037565246341102636
2020-12-25,-0.023252867116037888
2021-01-09,-0.027141826645953854
2021-01-09,-0.035355118331698784
2021-01-14,-0.03700800204700359
2021-01-14,-0.011949508386114452
2021-01-19,-0.01768493810351191
2021-01-19,-0.08428837760757879
2021-01-24,-0.08769265558879222
2021-01-29,-0.054468903302524865
2021-02-08,-0.0284624259094986
2021-02-08,-0.027798935095177363
2021-02-13,-0.03265515901673694
2021-02-18,0.014050706488027616
2021-02-18,0.03621470144611035
2021-02-23,0.027588592087320094
2021-02-23,-0.004326472582942203
2021-02-28,-0.010847524884723778
2021-02-28,-0.04638035937981207
2021-03-05,-0.04669857778604616
2021-03-05,-0.01821955283828326
2021-03-15,-0.022746240328049408
2021-03-15,-0.014175571031949039
2021-03-20,-0.01609541484474928
2021-03-20,-0.02046829540085914
2021-03-25,-0.023535271727594394
2021-03-25,-0.02706755768564754
2021-03-30,-0.029341583545473435
2021-03-30,-0.0071535497209117725
2021-04-04,-0.006979879305160371
2021-04-04,-0.044705416939136725
2021-04-09,-0.03988055958523945
2021-04-09,-0.020780686700849954
2021-04-14,-0.03255780953748935
2021-04-19,-0.07974479020761012
2021-04-24,-0.020734999562391145
2021-04-29,0.009406629541217043
2021-04-29,0.046202248735779945
2021-05-04,0.04241681092272673
2021-05-09,0.05098783487998333
2021-05-09,0.06586349307391151
2021-05-14,0.06290397369669821
2021-05-14,0.04642587901422083
2021-05-24,0.042910704783645844
2021-05-24,0.04208381755580619
2021-06-03,0.040473823534543804
2021-06-03,0.03563779028944749
2021-06-08,0.03443392122691013
2021-06-08,0.03077415993933369
2021-06-23,0.031036671762850583
2021-07-08,0.028150865758943926
2021-08-17,0.01822437914797328
2021-09-16,0.006981121079742345
2021-09-26,-0.03694307138310445
2021-09-26,-0.0608880057050857
2021-10-06,-0.06607235264799367
2021-10-06,-0.03648374367802774
2021-10-11,-0.03994408526991565
2021-10-11,-0.06175902980060175
2021-10-16,-0.06259878858118957
2021-10-16,-0.06283998182661531
2021-10-21,-0.06575557514355228
2021-10-21,0.029538499916848877
2021-10-26,0.02359554931510278
2021-10-26,0.006691724465315686
2021-10-31,0.0020321923956969096
2021-10-31,-0.057316020669150036
2021-11-05,-0.059273144157493
2021-11-05,-0.054707459268461316
2021-11-10,-0.05642215897277021
2021-11-10,-0.09565875084013557
2021-11-15,-0.09614477694665091
2021-11-15,-0.07651294582621397
2021-11-20,-0.07357935858876614
2021-11-20,-0.12838521942190229
2021-11-25,-0.13160321023176444
2021-11-25,-0.08413345354890227
2021-12-10,-0.08123525050081577
2021-12-10,-0.04393958320141781
2021-12-15,-0.04794590154472537
2021-12-15,-0.06478287802653002
2021-12-20,-0.06729591211026488
2021-12-20,-0.04072362082267443
2021-12-25,-0.04370840182523424
2021-12-25,-0.04265223879699258
2022-01-14,-0.04162074035248333
2022-01-29,-0.052366214207685745
2022-02-08,-0.008117563110160667
2022-02-08,-0.016953849558688564
2022-02-13,-0.01852891339292297
2022-02-13,-0.007643582478014892
2022-02-18,-0.010192127912057534
2022-02-18,-0.015505815426097221
2022-02-28,-0.017737197515198675
2022-02-28,-0.012542678062865454
2022-03-05,-0.014662318577595588
2022-03-05,-0.0024286889054044515
2022-03-10,-0.003914460022557153
2022-03-15,0.005286020314636524
2022-03-15,-0.0028325455957555513
2022-03-20,-0.004744869545048212
2022-03-20,-0.014096187248122373
2022-03-25,-0.014870182341078897
2022-03-25,0.007792672986904441
2022-03-30,0.005830358160100009
2022-03-30,-0.0029786217238500514
2022-04-04,-0.004225783603348436
2022-04-04,0.010899451271154858
2022-04-09,0.01010660606287315
2022-04-09,0.0024548352772456746
2022-04-14,0.0013606161860121365
2022-04-14,0.0016559900407493548
2022-04-19,0.0009160761651898973
2022-04-19,-0.005101092652290586
2022-04-24,-0.00497803888308103
2022-04-24,0.0041625808530609204
2022-04-29,0.004937170485721334
2022-04-29,0.021925325455798634
2022-05-04,0.020612229631029134
2022-05-09,0.006077918769755567
2022-05-14,0.01090098779535317
2022-05-14,0.02429877868736571
2022-05-19,0.02574145217124527
2022-05-19,0.015499347057815593
2022-05-29,0.014800268868872962
2022-06-03,-0.004556329018527139
2022-06-03,0.015425445315457694
2022-06-08,0.013682546080065121
2022-06-08,0.02699688642276444
2022-06-13,0.02688445933555004
2022-06-13,0.00884234898938616
2022-06-23,0.010534655200924265
2022-09-11,0.009945951104741505
2022-10-01,0.046145785190521094
2022-10-06,0.023240876397034354
2022-10-16,0.041156334007613975
2022-10-16,0.035456858848123884
2022-10-21,0.032726140772017645
2022-10-21,0.033014145707010556
2022-10-26,0.02091183659908569
2022-10-26,0.02770457099639894
2022-10-31,0.0250782204086485
2022-10-31,0.03996048300320607
2022-11-05,0.037062687804375605
2022-11-05,-0.0037116567960789625
2022-11-10,-0.0075845001914002785
2022-11-15,-0.019254108193721198
2022-11-15,-0.018000534273853994
2022-11-20,-0.020163073295644696
2022-11-20,-0.0072455867281109206
2022-11-25,-0.009106088430479675
2022-11-25,-0.020214093126852118
2022-11-30,-0.021120771200677374
2022-11-30,-0.002113185968751973
2022-12-05,-0.004372854674719339
2022-12-05,-0.01234293294587414
2022-12-15,-0.013830520505249477
2022-12-15,-0.003395938123933702
