,Turbidity
2018-12-16,-0.13132243387063341
2018-12-18,-0.3508665979896914
2018-12-21,-0.38077123914593264
2018-12-23,-0.34021604336792266
2018-12-26,-0.29231306627440534
2018-12-28,-0.20216773307563052
2018-12-31,-0.2675374644944195
2019-01-07,-0.24415521148161817
2019-01-12,-0.27844021221809184
2019-01-17,-0.26671243989749355
2019-02-04,-0.2897407776772934
2019-02-09,-0.3405659469034231
2019-03-01,-0.13452986754674967
2019-03-06,-0.3502934856971938
2019-03-08,-0.3019375581089115
2019-03-11,-0.17863868823562237
2019-03-18,-0.2940934664415314
2019-03-23,-0.42155136864998644
2019-03-26,-0.4017579938768381
2019-03-28,-0.3335945311623942
2019-03-31,-0.2721279691157986
2019-04-02,-0.2376362958732328
2019-04-05,-0.25786567106677644
2019-04-07,-0.205261571942517
2019-04-10,-0.1519319069159276
2019-04-15,-0.18306078078777357
2019-04-20,-0.1739382291576665
2019-04-22,-0.19029868676866926
2019-04-25,-0.2994274338576385
2019-04-27,-0.025252459182187662
2019-05-05,0.012956540445868482
2019-05-07,-0.13075230588176318
2019-05-10,-0.20704617193908625
2019-05-12,-0.11056064330636667
2019-05-25,-0.14354219171257224
2019-05-27,-0.029472185280767754
2019-05-30,-0.1584144158407181
2019-06-01,-0.012022428085709285
2019-06-04,-0.02366283609195072
2019-06-09,0.03334770162716952
2019-06-11,0.020621492556920078
2019-06-14,0.024950956874695143
2019-06-26,0.010672064495048952
2019-06-29,-0.029483287885680862
2019-10-09,-0.0072581337357364
2019-10-12,-0.15926971392363642
2019-10-14,-0.19759618590746456
2019-10-17,-0.22782984065109016
2019-10-19,-0.1992351328944664
2019-10-22,-0.24326124930510512
2019-10-24,-0.2742410254420231
2019-10-27,-0.20801610340858356
2019-11-01,-0.18803326231161116
2019-11-06,-0.20894175540508106
2019-11-08,-0.2977403610365621
2019-11-16,-0.3396255098853154
2019-11-18,-0.34090967538052847
2019-12-01,-0.2997806652662734
2019-12-03,-0.3405460932227141
2019-12-06,-0.28454014609401157
2019-12-08,-0.38640683659175173
2019-12-11,-0.34537704468597136
2019-12-16,-0.2801835000561894
2019-12-18,-0.1669106889085874
2019-12-23,-0.023701784427228832
2019-12-28,
2019-12-31,-0.219886314494165
2020-01-05,-0.003367825341210743
2020-01-10,-0.31782808417857256
2020-01-22,-0.2796527004768557
2020-01-30,-0.2966071039277869
2020-02-06,-0.20648025461379932
2020-02-09,-0.2640691056467595
2020-02-14,-0.3218677000258833
2020-02-16,-0.2769182071810767
2020-02-24,-0.24778107492448082
