,Dissolved Oxygen
2020-01-11,-0.04631964992982183
2020-01-26,-0.05446753738484027
2020-01-26,-0.08906643432847582
2020-01-31,-0.08958771522608901
2020-01-31,-0.13058147534769085
2020-02-05,-0.12220340000903954
2020-02-05,-0.06120003338010837
2020-02-10,-0.06256381154543401
2020-02-10,-0.07582979659627632
2020-02-15,-0.06924963016943052
2020-02-15,-0.2061829769829392
2020-02-25,-0.1772173177968169
2020-03-26,-0.06758232888077594
2020-03-26,-0.09775936435942939
2020-03-31,-0.08675167329561712
2020-03-31,-0.12045520729924374
2020-04-05,-0.09454504382782612
2020-04-05,-0.15166846896893157
2020-04-10,-0.13142811313495617
2020-04-10,-0.12388247770756422
2020-04-15,-0.10571606569925283
2020-04-15,-0.07608388204937423
2020-04-25,-0.07114822174251072
2020-04-30,-0.07837923250000851
2020-04-30,-0.06585022144537062
2020-05-05,-0.06315311609841288
2020-05-15,-0.10230463948807532
2020-05-15,-0.05963491914312041
2020-05-25,-0.05996531642983424
2020-05-25,-0.05714509908131877
2020-05-30,-0.05647762945172728
2020-06-09,-0.05401440927651296
2020-06-09,-0.08732745979014507
2020-09-27,-0.08191296557371718
2020-10-02,-0.03788578390069165
2020-10-02,-0.09334107223045869
2020-10-07,-0.10346635941720117
2020-10-07,-0.10302467380884404
2020-10-12,-0.09903773186539093
2020-10-12,-0.20286173428808346
2020-10-17,-0.19642318012073234
2020-10-17,-0.15531472595262108
2020-10-22,-0.15920571386098736
2020-10-27,-0.06992012658939546
2020-10-27,-0.05984539080916218
2020-11-01,-0.07644017110783635
2020-11-01,-0.060225901449618965
2020-11-06,-0.08598881523280319
2020-11-11,-0.04032039488672331
2020-11-11,-0.10962137928541303
2020-11-21,-0.09823516891821425
2020-11-21,-0.037705509746045
2020-12-01,-0.03825688229976988
2020-12-01,-0.03901573872743031
2020-12-06,-0.03587949457297324
2020-12-06,-0.03242264883304062
2020-12-26,-0.03245918550146361
2020-12-26,-0.03170362371613847
2021-01-10,-0.02975079510374707
2021-01-10,-0.056956704827879207
2021-02-04,-0.05511746583442972
2021-02-04,-0.07156691582093339
2021-02-09,-0.06245153724642139
2021-02-09,-0.05500802505789872
2021-02-14,-0.0486291738194069
2021-02-14,-0.06605782343488878
2021-02-19,-0.06737688900260234
2021-02-19,-0.0732529639864259
2021-02-24,-0.07083907149754069
2021-02-24,-0.07431342441571635
2021-03-01,-0.06937685734203879
2021-03-01,-0.07354855244319519
2021-03-06,-0.05959266618293563
2021-03-06,-0.07887582587887595
2021-03-11,-0.06118655434408358
2021-03-11,-0.07342613016824472
2021-03-16,-0.10265282556907922
2021-03-16,-0.0526461714050914
2021-03-26,-0.048618952574870304
2021-03-31,-0.05762110615654437
2021-03-31,-0.06323140510448134
2021-04-05,-0.06232250878367497
2021-04-05,-0.05314823784994361
2021-04-10,-0.046653534869966304
2021-04-10,-0.05001186460646877
2021-04-20,-0.04835594590858872
2021-04-20,-0.06404379009234164
2021-04-25,-0.05604842580994555
2021-04-25,-0.05112444168390675
2021-05-10,-0.05311100154018745
2021-05-10,-0.05794240683173668
2021-07-14,-0.05336441265837279
2021-07-14,-0.09761590014158757
2021-09-12,-0.09034872847768272
2021-09-12,-0.01805536732049019
2021-09-27,-0.019037271274426993
2021-09-27,-0.042480172287463897
2021-10-07,-0.04562079328896539
2021-10-12,-0.009763038631308193
2021-10-12,-0.012997012357541388
2021-10-22,-0.017791147610402167
2021-10-22,0.005400951198925616
2021-10-27,-0.004684057915134933
2021-10-27,-0.025092520578803113
2021-11-01,-0.026856111763440327
2021-11-01,-0.030002978969183403
2021-11-06,-0.03180637181600242
2021-11-06,-0.021889920360846006
2021-11-16,-0.02438580401170383
2021-11-16,-0.004286970029845325
2021-11-21,-0.010498585537107745
2021-11-21,0.0030642919361973707
2021-11-26,-0.006242041550089899
2021-11-26,-0.007627610589159013
2021-12-01,-0.01762456294974533
2021-12-01,-0.015557312027273371
2021-12-06,-0.017391458112603394
2021-12-06,-0.05452776924179492
2021-12-11,-0.05520467392970923
2021-12-11,-0.03570941502516139
2021-12-16,-0.03599542718993363
2021-12-16,-0.05171634894608401
2021-12-21,-0.04586829346369457
2021-12-21,-0.0437153874537664
