,pH
2020-01-16,7.46483184178601
2020-01-23,7.2108982528867385
2020-01-28,7.397697112339107
2020-01-31,7.4157955538627345
2020-02-02,7.366374632835433
2020-02-05,7.492889899981551
2020-02-07,7.202376285795092
2020-02-10,7.5139858315411585
2020-02-12,7.476169630118927
2020-02-15,7.177247468253473
2020-02-17,7.4122559657288765
2020-03-01,7.6521735409481275
2020-03-03,7.432717966017366
2020-03-06,7.502185312705372
2020-03-16,7.534504114909581
2020-03-18,7.435734358686765
2020-03-23,7.580251429023901
2020-03-26,7.606227473551313
2020-03-28,7.474153796879419
2020-03-31,7.6369293262660785
2020-04-02,7.574481836870698
2020-04-05,7.585587318968496
2020-04-07,7.491104678095537
2020-04-10,7.675846794990768
2020-04-12,7.634415310453413
2020-04-17,7.677131023417151
2020-04-22,7.657819888026553
2020-05-07,7.541825997952228
2020-05-10,7.593346777666902
2020-05-15,7.721367351377747
2020-05-17,7.80162160313016
2020-05-22,7.628496953707307
2020-05-25,7.694368911318383
2020-05-27,7.76921930834229
2020-06-09,7.725127409196631
2020-09-04,7.811157609889913
2020-10-17,7.570692310750158
2020-10-19,7.432458917093329
2020-10-22,7.601394860487101
2020-10-24,7.381983459466164
2020-10-27,7.514074417356099
2020-10-29,7.5280629319481775
2020-11-01,7.549307452988646
2020-11-08,7.395779420693452
2020-11-11,7.479086848968612
2020-11-13,7.474292378185674
2020-11-18,7.431286353017074
2020-11-21,7.383193900089439
2020-11-23,7.351583396801295
2020-11-28,7.494909139175616
2020-12-01,7.457031560414751
2020-12-18,7.367471267893708
2020-12-23,7.5239773292376535
2020-12-26,7.484381768468116
2020-12-28,7.466868395592156
2021-01-07,7.454983588754771
2021-01-12,7.4801778550787255
2021-02-04,7.475268535504238
2021-02-09,7.440754253302884
2021-02-11,7.12078411752735
2021-02-14,7.480403997402325
2021-02-16,7.425350373599368
2021-02-19,7.687930402134562
2021-02-21,7.337673794829059
2021-02-24,7.7144137827245824
2021-02-26,7.482557640174393
2021-03-01,7.627353656088441
2021-03-03,7.585676809580721
2021-03-06,7.685395362748005
2021-03-08,7.55973507121627
2021-03-11,7.589998592765895
2021-03-16,7.510482417685485
2021-03-18,7.67843101126067
2021-03-23,7.730298689319301
2021-03-26,7.69526357983938
2021-03-28,7.764964949172262
2021-03-31,7.6728201021359865
2021-04-02,7.729324126570905
2021-04-05,7.807766795541159
2021-04-07,7.717056216241505
2021-04-10,7.724670208238662
2021-04-17,7.713537547128012
2021-04-20,7.71285861201702
2021-04-25,7.69846594666339
2021-05-02,7.694874190919278
2021-05-17,7.685331229733283
2021-06-04,7.533010433531215
2021-06-06,7.796928178717399
2021-09-04,7.639330511457238
2021-09-12,7.4466504369874436
2021-09-24,7.688956465345471
2021-10-04,7.649667339825796
2021-10-07,7.443458100089385
2021-10-09,7.420558239989044
2021-10-12,7.390680849363959
2021-10-22,7.246687270528971
2021-10-27,7.608534826935835
2021-10-29,7.641004728944788
2021-11-01,7.786053032549293
2021-11-03,7.467225569407347
2021-11-06,7.52396132455255
2021-11-08,7.463267602581559
2021-11-11,7.451497745897099
2021-11-13,7.467735073900934
2021-11-16,7.420215922021414
2021-11-18,7.4484253440693475
2021-11-21,7.509539377975555
2021-11-23,7.374028391401957
2021-11-28,7.471506048089806
2021-12-01,7.429809918824682
2021-12-03,7.386698273866032
2021-12-06,7.325584296726158
2021-12-08,7.3330936039690595
2021-12-11,7.4924607802077
2021-12-13,7.449488715610129
2021-12-16,7.403984015913567
