,pH
2020-02-03,7.662315423909297
2020-02-08,7.484274539668435
2020-02-13,7.539157019175872
2020-02-18,7.768200783257806
2020-02-28,7.5741277884005624
2020-03-04,6.848117068096704
2020-03-09,7.3826484531625445
2020-03-19,7.653834055517347
2020-03-24,7.7991936996922915
2020-03-29,7.824551253453337
2020-04-03,7.756566311053247
2020-04-13,7.766970598611083
2020-04-18,7.80575180553816
2020-04-28,7.8320817818919695
2020-05-03,7.645220799044876
2020-05-08,7.826572538334485
2020-05-18,7.793185866966573
2020-05-23,7.821846164147367
2020-05-28,7.8284794017365265
2020-06-07,7.817830793028672
2020-08-31,7.661229203162545
2020-09-15,7.805464505554079
2020-09-30,7.242195038001207
2020-10-05,7.575351113162834
2020-10-10,7.308841992968435
2020-10-15,7.574634078572704
2020-10-20,7.373329375908558
2020-10-25,7.560391643894143
2020-10-30,7.625158877552557
2020-11-04,7.638496660365575
2020-11-24,7.724185107035781
2020-11-29,7.453124859284175
2020-12-04,7.611338115428044
2020-12-09,7.522423479620755
2020-12-19,7.64217102575368
2020-12-24,7.570555672200411
2021-02-02,7.539647002854422
2021-02-07,7.660997579915804
2021-02-12,7.676161742898553
2021-02-17,7.704798931696018
2021-02-22,7.777843729401509
2021-02-27,7.87015531416906
2021-03-04,7.96836893959196
2021-03-09,7.951018236337
2021-03-14,7.784980275346163
2021-03-24,7.861805471979038
2021-03-29,7.80222164764439
2021-04-03,7.8840641705288
2021-04-08,7.872237674711108
2021-04-13,7.8621678541824656
2021-04-18,7.893026439564349
2021-04-23,7.8998637738270014
2021-04-28,7.887070952167449
2021-05-08,7.905471040596884
2021-05-23,7.8020647252512285
2021-06-02,7.80609270889791
2021-10-10,7.808390844028712
2021-10-15,7.5182787520361005
2021-10-20,7.2039695777591275
2021-10-25,-1.6910462026960849
2021-10-30,7.715072198762797
2021-11-04,7.53060259544164
2021-11-14,7.59550128024811
2021-11-24,7.607245027478362
2021-12-04,7.708449627161006
2021-12-19,7.554000229525041
2021-12-24,7.565233415858319
