,pH
2020-01-05,
2020-01-10,5.570334712534868
2020-01-30,5.0930627932461485
2020-02-09,6.272886813756816
2020-02-14,6.128533201931918
2020-02-24,6.328925526063357
2020-02-29,6.774796001728378
2020-03-10,7.49296812146928
2020-03-15,6.156776694678844
2020-03-20,6.634243679067412
2020-03-25,6.068189871245284
2020-04-04,6.624707928117546
2020-04-14,5.034426931194949
2020-04-24,-0.7933094477982604
2020-05-04,6.162814399456053
2020-05-09,7.53723371450592
2020-05-14,6.476159890583516
2020-05-21,5.386696599134427
2020-05-24,2.4248431278537006
2020-06-08,6.7841682217290336
2020-06-13,7.218451940828995
2020-07-13,7.604225958232278
2020-09-21,7.366267496010523
2020-09-26,6.9361194091898
2020-09-28,7.429143862238281
2020-10-01,7.300138384368157
2020-10-06,6.6441432548370205
2020-10-08,6.010906809307402
2020-10-11,5.2858702982856824
2020-10-16,6.272655581332566
2020-10-18,7.112919668737403
2020-10-21,6.243304732007653
2020-10-26,6.329167396897696
2020-10-28,6.847698642990887
2020-10-31,5.631629161176349
2020-11-05,5.858626082777182
2020-11-07,6.60189290452189
2020-11-10,5.990398694093567
2020-11-15,6.527057506642135
2020-11-17,6.492972262845616
2020-11-20,5.728828525423927
2020-11-27,6.611243020368774
2020-11-30,6.776902150156053
2020-12-05,6.41491344100767
2020-12-10,6.703664865180969
2020-12-15,4.496892476419472
2020-12-20,6.480289809176164
2020-12-25,6.73933190931718
2021-01-09,6.620939413017135
2021-01-14,6.531656430136321
2021-01-16,7.046970707419507
2021-01-19,6.741421190610397
2021-01-21,6.927437537540701
2021-01-24,7.116524042791192
2021-01-26,6.9879431833409855
2021-01-29,6.643371066036289
2021-01-31,6.3416933046190325
2021-02-05,6.030665037992075
2021-02-08,-0.9172103828948562
2021-02-10,6.779704163642369
2021-02-13,7.613480648648057
2021-02-15,7.658085551415317
2021-02-18,7.628507224432581
2021-02-20,7.594310960078053
2021-02-23,8.141839517625233
2021-02-25,7.2965742131254565
2021-02-28,6.712713596899795
2021-03-02,6.947922091776875
2021-03-05,7.922804458027162
2021-03-15,6.471423466270207
2021-03-17,7.252887669045172
2021-03-20,7.6168498978097885
2021-03-25,6.939885557647541
2021-03-30,7.123900346213606
2021-04-04,7.2752112831139835
2021-04-09,6.51815027548134
2021-04-14,5.396901972495558
2021-04-19,5.792159074744521
2021-04-29,7.11175452884192
2021-05-04,7.439488163562086
2021-05-09,7.713407239080191
2021-05-14,7.715998135040837
2021-05-24,7.756896569209089
2021-05-31,7.5475577683078665
2021-06-03,7.582657453864659
2021-06-08,7.537579647242562
2021-06-30,7.656453760010462
2021-09-26,7.976362893775769
2021-10-03,6.545117791225137
2021-10-06,7.617092623869222
2021-10-08,7.177350482175402
2021-10-11,6.70000960021811
2021-10-13,7.009705714942332
2021-10-16,4.943819975843432
2021-10-21,4.463026636557847
2021-10-23,7.804675208044083
2021-10-26,7.489992329007249
2021-10-28,7.357086573183873
2021-10-31,7.275088128969771
2021-11-02,6.527649566311082
2021-11-05,6.76683367984476
2021-11-07,6.315890620568621
2021-11-10,5.650669235235801
2021-11-15,6.248623685222927
2021-11-17,6.869134671892845
2021-11-20,7.330425195953778
2021-11-25,5.15266156666173
2021-12-07,6.525675702547777
2021-12-10,
2021-12-15,5.8583821680968295
2021-12-20,3.083283368675706
2021-12-25,6.122774762076615
2021-12-27,6.418254223732927
