,pH
2020-01-11,7.447423839013783
2020-01-26,7.401835192050858
2020-01-26,7.209262068982948
2020-01-31,7.391715814129991
2020-01-31,7.426409472109659
2020-02-05,7.472996524218452
2020-02-05,7.31512029088649
2020-02-10,7.396560654617202
2020-02-10,7.485138580086062
2020-02-15,7.54506047703298
2020-02-15,7.198509730116836
2020-02-25,7.372131483602501
2020-03-26,7.613372896186303
2020-03-26,7.480574760961026
2020-03-31,7.5491222253135515
2020-03-31,7.6251659446651985
2020-04-05,7.655377438546496
2020-04-05,7.446502848137323
2020-04-10,7.500701127115325
2020-04-10,7.7827185251484705
2020-04-15,7.786380307981953
2020-04-15,7.672944415924397
2020-04-25,7.705929489760746
2020-04-30,7.531596441827021
2020-04-30,7.464600848426761
2020-05-05,7.513975851858754
2020-05-15,7.409551356827624
2020-05-15,7.579956816704617
2020-05-25,7.6270765637430165
2020-05-25,7.725765185114829
2020-05-30,7.750678094979043
2020-06-09,7.691536852412433
2020-06-09,7.490659262461993
2020-09-27,7.563666360744873
2020-10-02,7.243416721038225
2020-10-02,7.369758356357689
2020-10-07,7.40163781445306
2020-10-07,7.088042376086444
2020-10-12,7.282518298412583
2020-10-12,7.075901407646262
2020-10-17,7.126496973279569
2020-10-17,7.422171443479648
2020-10-22,7.53895964740607
2020-10-27,7.512346341285751
2020-10-27,7.612624922555732
2020-11-01,7.863819024494399
2020-11-01,7.26406481237022
2020-11-06,2.6078736512978202
2020-11-11,7.5365882552879055
2020-11-11,7.374617433212343
2020-11-21,7.433834405921696
2020-11-21,7.311951562046353
2020-12-01,7.396746010995255
2020-12-01,7.324801704788069
2020-12-06,7.387589244105302
2020-12-06,7.499025687409491
2020-12-26,7.553498758578495
2020-12-26,7.478229479378415
2021-01-10,7.515037564598213
2021-01-10,7.501603307613338
2021-02-04,7.527535574067557
2021-02-04,7.639950286594137
2021-02-09,7.66509462069233
2021-02-09,7.526514526387362
2021-02-14,7.545589305435623
2021-02-14,7.646506915640379
2021-02-19,7.58007534480549
2021-02-19,7.646448902558082
2021-02-24,7.593977435280354
2021-02-24,7.927041458964309
2021-03-01,7.838087769167506
2021-03-01,7.789860849387834
2021-03-06,7.766877988913312
2021-03-06,7.69935332524036
2021-03-11,7.717507394834402
2021-03-11,7.749834380734379
2021-03-16,7.94718689381797
2021-03-16,7.814954786944694
2021-03-26,7.803422135130655
2021-03-31,7.892563143206064
2021-03-31,7.767708439663759
2021-04-05,7.769294258813649
2021-04-05,7.781644875486232
2021-04-10,7.79184764950703
2021-04-10,7.783522825250231
2021-04-20,7.7929204202764275
2021-04-20,7.735182780338524
2021-04-25,7.7471443054018545
2021-04-25,7.77680625425744
2021-05-10,7.781570526827203
2021-05-10,7.615501572515252
2021-07-14,7.64725302726139
2021-07-14,7.5326838282805175
2021-09-12,7.593921761487215
2021-09-12,7.503700652128044
2021-09-27,7.509529021792127
2021-09-27,7.783040771644006
2021-10-07,7.75865910895042
2021-10-12,6.8818041774866705
2021-10-12,7.271815806307705
2021-10-22,7.237280339787697
2021-10-22,7.581745536178096
2021-10-27,7.796493390347284
2021-10-27,7.814534403703097
2021-11-01,7.809135294685424
2021-11-01,7.739102459452542
2021-11-06,7.850406513261033
2021-11-06,7.628995118405111
2021-11-16,7.6435195881672975
2021-11-16,7.264587193985793
2021-11-21,7.3342128709718395
2021-11-21,7.128487830702972
2021-11-26,7.272189899712808
2021-11-26,7.168237146398505
2021-12-01,7.312770775309963
2021-12-01,7.3615260694191615
2021-12-06,7.421700718272275
2021-12-06,6.933075977126516
2021-12-11,7.094283988478846
2021-12-11,7.30061125187353
2021-12-16,7.403221817374351
2021-12-16,7.288808427316171
2021-12-21,7.365808528334435
2021-12-21,7.3517383194659915
