,Dissolved Oxygen
2020-02-03,-0.06773024276116435
2020-02-08,-0.09193347423687782
2020-02-13,-0.05837836111308145
2020-02-18,-0.11342518755668686
2020-02-28,-0.07312041490113871
2020-03-04,-0.03281529619186341
2020-03-09,-0.03957514628931962
2020-03-19,-0.06676380522764121
2020-03-24,-0.08866206703147683
2020-03-29,-0.11126602826735028
2020-04-03,-0.0768867566116416
2020-04-13,-0.10614897582429496
2020-04-18,-0.08707847388668834
2020-04-28,-0.06724099312598843
2020-05-03,-0.0717430819592167
2020-05-08,-0.06195521021226786
2020-05-18,-0.07660358801698489
2020-05-23,-0.06499749203557496
2020-05-28,-0.060637753701018045
2020-06-07,-0.048316541466622696
2020-08-31,-0.0663134418324109
2020-09-15,-0.045775269215550134
2020-09-30,-0.0211024441621309
2020-10-05,-0.12498036841894883
2020-10-10,-0.06428659099373471
2020-10-15,-0.12385637245313956
2020-10-20,-0.09212248580340822
2020-10-25,-0.0813719783548723
2020-10-30,-0.07363397084336862
2020-11-04,-0.10519965596171217
2020-11-24,-0.06558418642980976
2020-11-29,-0.031778296926156344
2020-12-04,-0.0461682249056985
2020-12-09,-0.04055325278270796
2020-12-19,-0.07658807083577232
2020-12-24,-0.06436535361307487
2021-02-02,-0.044967312596143665
2021-02-07,-0.06873530176808987
2021-02-12,-0.10572999645522181
2021-02-17,-0.09072773163924934
2021-02-22,-0.09312638489767867
2021-02-27,-0.0826647026474422
2021-03-04,-0.0828845075335683
2021-03-09,-0.10641360183721447
2021-03-14,-0.07558529587745061
2021-03-24,-0.11485136098328713
2021-03-29,-0.07594417316074242
2021-04-03,-0.07041289560591148
2021-04-08,-0.06723050840914223
2021-04-13,-0.062026099626232685
2021-04-18,-0.07660963207980595
2021-04-23,-0.09767238867697811
2021-04-28,-0.07374564036091431
2021-05-08,-0.0767483972353534
2021-05-23,-0.08735078779487515
2021-06-02,-0.10288482353075228
2021-10-10,-0.10139536507258097
2021-10-15,-0.020631098528275296
2021-10-20,-0.01945777512863011
2021-10-25,-0.008051679283173527
2021-10-30,-0.02162983740107293
2021-11-04,-0.026055952384822063
2021-11-14,-0.017517976553343625
2021-11-24,-0.026839024391419813
2021-12-04,-0.0356492924543874
2021-12-19,-0.042004554387262694
2021-12-24,-0.02925143937249029
