,Turbidity
2019-01-04,-0.008073468165513369
2019-01-09,-0.04079469392642957
2019-01-14,-0.057302723800874374
2019-01-19,-0.04384805062861363
2019-01-29,-0.046616335094550945
2019-02-13,-0.09310585718484173
2019-02-23,-0.09412507260380146
2019-02-28,-0.10777597395387409
2019-03-05,-0.09948432742261673
2019-03-10,-0.07655970893074983
2019-03-20,-0.09261488264311532
2019-03-25,-0.07519264959676678
2019-03-30,-0.03401574035085948
2019-04-04,-0.0478073529268357
2019-04-09,-0.04661670472294198
2019-04-14,-0.023521778311779606
2019-04-19,-0.012820528229715389
2019-04-24,-0.05155263527613387
2019-04-29,-0.019058090186267435
2019-05-04,-0.00938186797089065
2019-05-09,-0.016821025083320267
2019-05-14,0.0034324488451892977
2019-05-19,-0.02505477494404737
2019-05-29,-0.008777033520953353
2019-06-03,-0.015354954223118536
2019-06-08,0.02678404936354111
2019-06-18,0.0046739793552921325
2019-06-28,0.010769891032641483
2019-09-21,0.011156140295186892
2019-10-06,0.08247107778495535
2019-10-11,0.015923106127364108
2019-10-16,0.046015518945532075
2019-11-10,-0.0033518258346497388
2019-11-15,-0.04830056223510528
2019-11-20,-0.03770661195666736
2019-11-30,-0.0567670178489253
2019-12-05,-0.03946960256193462
2019-12-10,-0.040371096254456416
2020-02-03,-0.027770258832585826
2020-02-08,-0.10145697613979457
2020-02-13,-0.025680399289337356
2020-02-18,-0.07239648113324346
2020-02-28,-0.0596436671580433
2020-03-04,-0.05753371524540409
2020-03-09,-0.027392802724859548
2020-03-19,-0.027656493593155397
2020-03-24,-0.01459024907274662
2020-03-29,-0.04514873999223313
2020-04-03,-0.015617893288327349
2020-04-13,-0.03275202549129676
2020-04-18,-0.02409192698924871
2020-04-28,0.03711330877734971
2020-05-03,0.0020954975923658105
2020-05-08,0.0294903268537318
2020-05-18,0.008895480345477325
2020-05-23,0.024614870798142688
2020-05-28,0.02176934914815027
2020-06-07,0.040127348705857394
2020-08-31,0.0013231974276910466
2020-09-15,0.08722562553953328
2020-09-30,-0.04003373524687699
2020-10-05,-0.12784844160153147
2020-10-10,-0.08732120697489
2020-10-15,-0.14307165517373444
2020-10-20,-0.0858642910273567
2020-10-25,-0.0788393281932957
2020-10-30,-0.04394968760708484
2020-11-04,-0.08454472650357474
2020-11-24,-0.040828750353397544
2020-11-29,-0.02478179082310996
2020-12-04,-0.022543113662465614
2020-12-09,-0.021491763245555826
2020-12-19,-0.0378966247150059
2020-12-24,-0.04569633162286928
2021-02-02,-0.025205324500038515
2021-02-07,-0.037969924776332646
2021-02-12,-0.05889336196118541
2021-02-17,-0.04018882059163314
2021-02-22,-0.04871869422491224
2021-02-27,-0.021570777232397313
2021-03-04,-0.02348331295411431
2021-03-09,-0.05145580989110041
2021-03-14,-0.015189248001818697
2021-03-24,-0.055673924394183144
2021-03-29,-0.0025129816867701517
2021-04-03,0.0076763550609972205
2021-04-08,0.01426380523326299
2021-04-13,0.017000832062768718
2021-04-18,0.01661967401420164
2021-04-23,-0.014265247421167249
2021-04-28,0.01862495527924375
2021-05-08,0.019564814794463762
2021-05-23,-0.000668940556913303
2021-06-02,-0.018311986139077193
2021-10-10,-0.021702745648144468
2021-10-15,0.007687997464065852
2021-10-20,-0.05646274887296447
2021-10-25,-0.04721864664982794
2021-10-30,0.05961382544427972
2021-11-04,0.014893776579400064
2021-11-14,0.01950468360952445
2021-11-24,-0.0033549164421943466
2021-12-04,0.0012225023849109157
2021-12-19,-0.011859821686085173
2021-12-24,-0.006597257234676471
2022-01-03,-0.01918508070512559
2022-01-13,-0.023899913304550536
2022-01-28,-0.03386203074432815
2022-02-02,0.0026521354447184642
2022-02-07,-0.00774103340435969
2022-02-12,-0.01437601016780407
2022-02-17,-0.010430683260346355
2022-02-22,-0.002837545909128685
2022-02-27,-0.01236461922668111
2022-03-04,-0.004255888642567759
2022-03-09,-0.013586710285027
2022-03-14,-0.010112364510587545
2022-03-19,-0.006277199950726465
2022-03-29,-0.0017247272934262392
2022-04-03,0.005448059911952552
2022-04-08,-0.005401791769899685
2022-04-18,0.0033565312734992574
2022-04-23,0.015000580878442056
2022-04-28,0.01778811613544288
2022-05-03,0.014147977130902127
2022-05-08,0.03948050594563609
2022-05-13,0.019074992212157815
2022-05-18,0.015054000597129965
2022-05-23,0.023742198028207748
2022-05-28,0.01705598520661632
2022-06-02,0.012273615568514782
2022-06-07,0.014148884858498065
2022-06-12,0.017523956898455036
2022-06-22,0.010747458589956415
2022-10-15,-0.005576467865894816
2022-10-20,0.07684579266176052
2022-10-25,0.049985562165997706
2022-10-30,0.005014248843672472
2022-11-04,-0.01078774248370378
2022-11-09,0.0020804336697391643
2022-11-14,0.017891436230102892
2022-11-19,-0.0011157427406781847
2022-11-24,0.0005833359791199589
2022-11-29,0.007995190804524304
2022-12-04,0.01136909077827786
2022-12-09,0.0055034452278655945
2022-12-14,0.0068132370728759255
2022-12-19,0.00037975260549755283
2022-12-29,0.00038920968913771115
