,Turbidity
2019-02-04,-0.1688245257988677
2019-02-09,-0.35417126941158955
2019-03-01,-0.12672990536923393
2019-03-06,-0.40060669625143935
2019-03-11,-0.36702921147671913
2019-03-26,-0.3638900564581556
2019-03-31,-0.4055317140472214
2019-04-05,-0.32254573713900486
2019-04-10,-0.26000790997060763
2019-04-15,-0.20704976574788916
2019-04-20,-0.2310603549170328
2019-04-22,-0.2079272548027556
2019-04-25,-0.3360847078677623
2019-05-05,-0.04109597090018383
2019-05-10,-0.23197974660664553
2019-05-12,-0.14193824793274307
2019-05-25,-0.17132627568812875
2019-05-30,-0.04175468085329464
2019-06-01,-0.10297199838176994
2019-06-04,-0.13129296965163395
2019-06-09,0.01323459514226253
2019-06-14,-0.011777363397755035
2019-06-29,-0.01209362982836013
2019-10-12,-0.04382296056488246
2019-10-14,-0.18206952457359113
2019-10-17,-0.10578103938255241
2019-10-22,-0.2620359368082364
2019-10-24,-0.28249124109568957
2019-10-27,-0.20982594576686192
2019-11-01,-0.20666142549936478
2019-11-06,-0.22190459842725033
2019-11-16,-0.30253732681139833
2019-12-01,-0.3473964253353397
2019-12-06,-0.3330500528130813
2019-12-11,-0.41541575878059
2019-12-16,-0.3054779374131077
2019-12-31,-0.16581300697948434
2020-01-05,-0.017539327096864323
2020-01-10,-0.341909916279699
2020-01-30,-0.2538387773380944
2020-02-09,-0.2370199427411091
2020-02-14,-0.30171812475713844
2020-02-24,-0.2707751119006872
2020-02-29,-0.2728942313464881
2020-03-10,-0.1613393544206612
2020-03-15,-0.33504086360397256
2020-03-20,-0.22360355732197484
2020-03-25,-0.3743762809594851
2020-04-04,-0.28876809411959786
2020-04-14,-0.3771508586800476
2020-04-24,-0.35636502427638467
2020-05-04,-0.293663215969861
2020-05-09,0.05634517493557389
2020-05-14,-0.22001381387001376
2020-05-21,-0.2119860993307594
2020-05-24,-0.2681664611929445
2020-06-08,-0.12662528022279643
2020-06-13,-0.10341683463781536
2020-07-13,0.011855491690194843
2020-09-21,0.005495156930228094
2020-09-26,-0.06954038469791038
2020-09-28,-0.06890517127786827
2020-10-01,-0.1316733718306108
2020-10-06,-0.16320426039797525
2020-10-08,-0.19304779138726819
2020-10-11,-0.19255611947977014
2020-10-16,-0.18304797729776895
2020-10-18,-0.15317075236766162
2020-10-21,-0.2035262158512078
2020-10-26,-0.17940354340470852
2020-10-28,-0.24381764573088824
2020-10-31,-0.2985523693132967
2020-11-05,-0.32229822392601803
2020-11-07,-0.291527535683518
2020-11-10,-0.3024869077646704
2020-11-15,-0.29802468874345306
2020-11-17,-0.3187669315635372
2020-11-20,-0.38726399271922857
2020-11-27,-0.27633167640163
2020-11-30,-0.2835204163952829
2020-12-05,-0.2780754790251359
2020-12-10,-0.3029056799048809
2020-12-15,-0.39192607185664996
2020-12-20,-0.2968604554622485
2020-12-25,-0.2214679886061818
2021-01-09,-0.280052606914542
2021-01-14,-0.30336696905559835
2021-01-16,-0.19934456122730276
2021-01-19,-0.22979609128374975
2021-01-21,-0.23393685388734875
2021-01-24,-0.16027712199158986
2021-01-26,-0.2531472910840823
2021-01-29,-0.21161505823056492
2021-01-31,-0.27687438999086744
2021-02-05,-0.2905829442231575
2021-02-08,-0.16079603345579588
2021-02-10,-0.14290910201069237
2021-02-13,-5.776058693525721e-05
2021-02-15,0.005651514329347945
2021-02-18,0.025130812970836563
2021-02-20,0.020708721954619695
2021-02-23,
2021-02-25,-0.04484009734729232
2021-02-28,-0.07056712051363644
2021-03-02,-0.08279914242529404
2021-03-05,-0.048501862206329495
2021-03-15,-0.10210751197977241
2021-03-17,-0.07963820529721925
2021-03-20,-0.058355998225358016
2021-03-25,-0.10688033825495606
2021-03-30,-0.12521648627242363
2021-04-04,-0.08881794175962779
2021-04-09,-0.10442375919985453
2021-04-14,-0.14601388463956547
2021-04-19,-0.182989929847435
2021-04-29,-0.10895820543279074
2021-05-04,0.008572094679906392
2021-05-09,0.04304931129639163
2021-05-14,0.05976959491801596
2021-05-24,0.06639426286060303
2021-05-31,0.018481333721244282
2021-06-03,0.04436501576604558
2021-06-08,0.01623881717125522
2021-06-30,0.011064955655277597
2021-09-26,-0.009027372805321633
2021-10-03,-0.0725436178026751
2021-10-06,0.009226987660947912
2021-10-08,-0.06719981298567312
2021-10-11,-0.1273588983358779
2021-10-13,-0.15132674710410512
2021-10-16,-0.2023950453107857
2021-10-21,-0.24951647641657076
2021-10-23,0.03294275577161242
2021-10-26,0.006011193014321734
2021-10-28,-0.006218409722585378
2021-10-31,0.000850924915136889
2021-11-02,-0.1219889172872102
2021-11-05,-0.16009781709409532
2021-11-07,-0.20147624989855417
2021-11-10,-0.23363605311059044
2021-11-15,-0.2503684958418515
2021-11-17,-0.22805646375750888
2021-11-20,-0.2540522931849073
2021-11-25,-0.380744416558043
2021-12-07,-0.3032036710980356
2021-12-10,
2021-12-15,-0.38624978177935154
2021-12-20,-0.4311591647983364
2021-12-25,-0.38202676109163103
2021-12-27,-0.3299364309779629
2022-01-14,
2022-01-29,-0.2233082540152632
2022-02-08,-0.01493407369126094
2022-02-13,-0.11998096787325724
2022-02-18,-0.10983300520319451
2022-02-28,-0.14579276128084367
2022-03-02,-0.1436181218015979
2022-03-05,-0.08715568939094682
2022-03-12,-0.15326206332593081
2022-03-15,-0.13906219801976455
2022-03-20,-0.10246734448970604
2022-03-22,-0.09701365668158424
2022-03-25,-0.0986264759153083
2022-03-30,-0.14307795140376245
2022-04-04,-0.13343970938126076
2022-04-09,-0.00981824937553358
2022-04-14,-0.12030479415461029
2022-04-19,-0.0649789318951546
2022-04-24,-0.11621142158684303
2022-04-29,-0.1530901268283573
2022-05-04,-0.068999395516216
2022-05-14,-0.0708256704192076
2022-05-16,-0.0015274177181599843
2022-05-19,
2022-06-03,-0.012130792810456457
2022-06-08,-0.030109569525950824
2022-06-10,0.019973171300106035
2022-06-13,-0.02335037003584548
2022-06-15,-0.001873692136267502
2022-07-15,-0.004019483019346467
2022-09-28,-0.42469348358951137
2022-10-01,-0.02643101030904037
2022-10-16,0.029053968074984515
2022-10-21,0.03178414321276651
2022-10-26,0.01999565388171307
2022-10-31,0.00469441527179696
2022-11-05,0.0031768065769575155
2022-11-10,-0.053310345314432225
2022-11-15,-0.04754875395103969
2022-11-17,-0.1171940528640299
2022-11-20,-0.09406059950147107
2022-11-22,-0.11252364151614483
2022-11-25,-0.1505091606158839
2022-11-30,-0.13704916207420545
2022-12-05,-0.13171306137509814
2022-12-15,-0.12922567149918837
