,Turbidity
2019-01-01,-0.018497186442505708
2019-01-01,-0.0425680086429745
2019-01-06,-0.026714207662115918
2019-01-06,-0.054254168191866806
2019-01-11,-0.03566007891541646
2019-01-11,-0.05524524409597242
2019-01-16,-0.03583057484442579
2019-01-16,-0.09099888463020496
2019-01-21,-0.06530233215861928
2019-01-21,-0.05709184683467386
2019-02-10,-0.03819753964637894
2019-02-10,-0.11186388895785435
2019-02-20,-0.07441991847344016
2019-02-25,-0.06036946847246831
2019-02-25,-0.09245768346054697
2019-03-07,-0.05708709927904117
2019-03-07,-0.11323489466810632
2019-03-12,-0.07531878159704358
2019-03-12,-0.08310959019727682
2019-03-22,-0.05227431764618273
2019-03-22,-0.09317625842239866
2019-03-27,-0.07260600619981128
2019-03-27,-0.1005860779670498
2019-04-01,-0.052122131709796814
2019-04-01,-0.06895893336329913
2019-04-11,-0.046739764935574996
2019-04-11,-0.014418064352799614
2019-04-21,0.00024641295035470904
2019-04-21,-0.06126244628713575
2019-04-26,-0.03592352150492746
2019-04-26,-0.026083517330241737
2019-05-01,-0.007283150736114778
2019-05-01,-0.025958163134747938
2019-05-06,-0.0076664438297593986
2019-05-06,-0.02327156990359493
2019-05-21,-0.006240190808221767
2019-05-21,-0.026826650157220387
2019-05-26,-0.008585660904624237
2019-05-31,0.0013881127070319026
2019-05-31,-0.013224568991878353
2019-06-05,0.002074569560207109
2019-06-05,-0.008054906363416436
2019-06-10,0.0045983412227064
2019-06-10,-0.01336890518908879
2019-06-15,0.0013506853349228621
2019-06-15,0.0034093847883158424
2019-06-25,0.012572621601797895
2019-10-08,-0.005127247227306466
2019-10-08,0.060471536967526635
2019-10-13,0.05519493840047466
2019-10-13,0.06656268929772312
2019-10-18,0.06290999219025542
2019-10-18,-0.013181922743640414
2019-11-02,-0.008902066716332847
2019-11-07,-0.05465569601562568
2019-11-12,-0.05759165063939942
2019-11-12,-0.06682048308661208
2019-11-17,-0.05412718293592588
2019-11-17,-0.06619680576817637
2019-11-22,-0.0491640201089397
2019-11-27,-0.05425317114732433
2019-11-27,-0.06944543823100002
2019-12-02,-0.05285345282727661
2020-01-11,-0.045075062539434274
2020-01-26,-0.08245205585038903
2020-01-26,-0.07606994731700119
2020-01-31,-0.057245539089915046
2020-01-31,-0.11813480202828444
2020-02-05,-0.09623774444656498
2020-02-05,-0.07480622835451071
2020-02-10,-0.05596880994093139
2020-02-10,-0.07129673243726507
2020-02-15,-0.051895061447290336
2020-02-15,-0.12421518929724039
2020-02-25,-0.09500697966155548
2020-03-26,-0.0560995209358934
2020-03-26,-0.1113541419556715
2020-03-31,-0.07685440517315745
2020-03-31,-0.11855857969989718
2020-04-05,-0.07920062463488164
2020-04-05,-0.14367001630018206
2020-04-10,-0.10803966520964661
2020-04-10,-0.08196253361939551
2020-04-15,-0.055557046434370656
2020-04-15,-0.02184809180106823
2020-04-25,-0.006064778240553292
2020-04-30,-0.03322303170704551
2020-04-30,-0.041229633475875584
2020-05-05,-0.02920192277056158
2020-05-15,-0.08984098718112637
2020-05-15,-0.031015618161244537
2020-05-25,-0.013817787188115301
2020-05-25,-0.006199889461493876
2020-05-30,0.006412399255851526
2020-06-09,-0.0033323511519123493
2020-06-09,-0.08372686470694216
2020-09-27,-0.05705467829200368
2020-10-02,-0.06673358923564321
2020-10-02,-0.11697299214735726
2020-10-07,-0.1066197399425939
2020-10-07,-0.13751380751958064
2020-10-12,-0.11774307981671135
2020-10-12,-0.21734674211391009
2020-10-17,-0.19310438020507806
2020-10-17,-0.16829844624535975
2020-10-22,-0.14850149517156352
2020-10-27,-0.05641586600835391
2020-10-27,-0.06922819256155185
2020-11-01,-0.07734010883906452
2020-11-01,-0.09492290222534887
2020-11-06,-0.11769181167933776
2020-11-11,-0.04570760505701861
2020-11-11,-0.10765077033126347
2020-11-21,-0.07873593287442608
2020-11-21,-0.061229810671364925
2020-12-01,-0.042800491236512604
2020-12-01,-0.06531152985245284
2020-12-06,-0.044971596458401715
2020-12-06,-0.03895676239332915
2020-12-26,-0.023942295090769297
2020-12-26,-0.04953990125877819
2021-01-10,-0.03500520343691907
2021-01-10,-0.03758649042891604
2021-02-04,-0.02562393432799512
